url,label
https://www.example.com,0
https://www.wikipedia.org,0
https://www.python.org,0
https://www.mozilla.org,0
https://www.github.com,0
https://www.microsoft.com,0
https://www.apple.com,0
https://www.google.com,0
https://www.youtube.com,0
https://www.linkedin.com,0
https://www.amazon.com,0
https://www.bbc.com/news,0
https://www.nasa.gov,0
https://www.un.org,0
https://www.who.int,0
https://www.stackoverflow.com/questions,0
https://docs.python.org/3/,0
https://react.dev/learn,0
https://developer.mozilla.org/en-US/docs/Web,0
https://www.khanacademy.org,0
https://www.coursera.org,0
https://www.edx.org,0
https://www.openstreetmap.org,0
https://www.nytimes.com,0
https://www.reuters.com,0
https://www.cloudflare.com,0
https://www.dropbox.com,0
https://www.zoom.us,0
https://www.spotify.com,0
https://www.canva.com,0
https://www.notion.so,0
https://www.salesforce.com,0
https://www.ibm.com,0
https://www.oracle.com,0
https://www.adobe.com,0
https://www.paypal.com,0
https://accounts.google.com,0
https://login.microsoftonline.com,0
https://help.github.com,0
https://status.cloudflare.com,0
http://account-verify.test/login,1
http://secure-paypal-login.test/verify,1
http://banking-update-required.test/signin,1
http://microsoft-password-reset.test/account,1
http://google-security-alert.test/verify,1
http://apple-id-confirmation.test/login,1
http://amazon-invoice-update.test/secure,1
http://wallet-recovery-required.test/confirm,1
http://netflix-billing-update.test/signin,1
http://facebook-account-locked.test/login,1
http://instagram-verify-account.test/recovery,1
http://dropbox-shared-file.test/login,1
http://office365-document-share.test/secure,1
http://dhl-delivery-fee.test/confirm,1
http://fedex-package-hold.test/update,1
http://tax-refund-claim.test/verify,1
http://crypto-wallet-validate.test/login,1
http://support-team-password.test/reset,1
http://webmail-session-expired.test/signin,1
http://your-account-suspended.test/verify,1
http://192.0.2.10/secure-login,1
http://198.51.100.25/account-verify,1
http://203.0.113.50/bank/login,1
http://xn--paypa1-verify.test/login,1
http://login@secure-portal.test/verify,1
http://account-security-check.top.test/login,1
http://update-your-password-now.test/confirm,1
http://verify-bank-details.test/secure,1
http://document-review-required.test/login,1
http://payment-failed-update.test/verify,1
http://free-gift-claim-now.test/secure,1
http://urgent-action-required.test/account,1
http://signin-to-continue.test/verify,1
http://customer-support-portal.test/login,1
http://mailbox-storage-full.test/update,1
http://cloud-file-shared.test/signin,1
http://invoice-pending-payment.test/confirm,1
http://salary-payment-portal.test/verify,1
http://hr-document-sign.test/login,1
http://security-token-expired.test/recovery,1
